uid,station_name,time_iso,aqi,pm25,pm10,o3,no2,so2,co,temp,humidity,wind,pressure,ingested_at_utc,time
5773,Bangkok,2025-08-25 05:00:00,30,30,17,4.8,0.6,0.6,0.1,26.7,95.9,1.0,1004.7,2025-08-24T23:25:14Z,2025-08-25 12:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 05:00:00,50,50,18,3.6,,1.6,0.1,25.6,95.9,1.0,1003.2,2025-08-24T23:25:15Z,2025-08-25 12:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 05:00:00,30,30,11,10.3,8.1,0.6,0.1,26.6,10.2,2.0,1003.7,2025-08-24T23:25:16Z,2025-08-25 12:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-24 22:00:00,56,56,67,0.4,,,,28.2,80.4,2.5,1006.9,2025-08-24T23:25:16Z,2025-08-25 05:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-24T23:25:17Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 08:00:00,39,39,20,4.8,0.6,0.6,0.1,28.3,91.4,2,1005.8,2025-08-25T02:10:08Z,2025-08-25 15:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 08:00:00,59,59,24,4.0,,1.6,0.1,27.7,9.0,1,1004.2,2025-08-25T02:10:09Z,2025-08-25 15:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 08:00:00,28,28,12,10.3,8.1,0.6,0.1,26.6,81.1,1,1004.8,2025-08-25T02:10:10Z,2025-08-25 15:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 08:00:00,55,55,67,0.4,,,,28.3,9.0,2,1005.8,2025-08-25T02:10:10Z,2025-08-25 15:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3,1006.0,2025-08-25T02:10:11Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-25 10:00:00,27,27,18,4.8,0.6,0.6,0.1,30.7,8.7,3,1006.4,2025-08-25T03:52:28Z,2025-08-25 17:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 10:00:00,55,55,31,6.4,,2.2,0.1,29.5,8.6,2,1004.7,2025-08-25T03:52:29Z,2025-08-25 17:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 10:00:00,64,64,27,10.3,8.1,0.6,0.1,30.7,8.9,2,1005.2,2025-08-25T03:52:29Z,2025-08-25 17:00:00+07:00
